path,label,features_json
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pineapple Mini/79_100.jpg,Pineapple Mini,"[-5.19052493201195, 2.673250096270365, 2.4239688282339142, -3.898000923826278, -1.945709969535606, 2.7000593967913584, 2.0054360140914995, -0.7016100694247612, -9.241954093160977, 3.5853418904586394, -2.2127302724119193, 2.1364638708058186, 0.6439527631625095, -3.8156466125663804, -3.1895665461424363]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Watermelon/269_100.jpg,Watermelon,"[-3.456503252100896, 4.5416792166161395, -7.138640610434084, -4.857468606217179, 4.2923936283057476, 7.755933427611645, -2.3997111358306493, 3.7455637768280687, -10.513882520385991, 3.2484657376676758, -4.893306113143429, -1.1387419358699944, -1.3757077419270176, 6.259064357139293, 2.5045363731261667]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Watermelon/188_100.jpg,Watermelon,"[-4.0498776070617675, 6.886111823713373, -6.762385090721115, -5.014435997594039, 3.5949300395039714, 6.392250128291665, -1.7908661295436221, 3.70841411226529, -8.686674014188533, 3.8618135142709207, -2.619200241505028, -0.4605373471490497, -0.26037618250250233, 3.1562256948311402, 1.9255218525467381]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cauliflower/r_176_100.jpg,Cauliflower,"[-4.593787921959655, 2.347825025189629, 0.8815296197283519, -2.929708441982677, -3.543687279830839, 3.356609906037408, -0.7750297736132514, 1.834503367188311, -2.5114330621770113, 3.8599836601472672, -6.206494999139089, 1.983182370991454, 1.9422392697201214, -3.017824341916415, -0.25615217474400376]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Raspberry/210_100.jpg,Raspberry,"[-1.7246584077531661, 3.6858307180515992, 1.186423633118103, -8.713059382070714, -4.629106817779306, 1.4252092179541436, -1.398518236036371, 2.7584836815057163, -4.488394084408406, 4.427878844417081, -6.4395953869527744, -1.924182030344228, -0.5019028932805951, 5.011285577787527, -3.629273438192471]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pineapple/311_100.jpg,Pineapple,"[-5.215521359841995, 5.664221265541015, 0.8794791153786552, -3.534723540208323, -3.9303098079264647, 1.3242195885017347, 0.42823387180454664, 0.4999960974905853, -6.676128572474387, 4.82788960367703, -6.798696924318411, 1.19582381068975, 1.067169090123515, -4.7519342040476324, -5.494817675095025]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Raspberry/104_100.jpg,Raspberry,"[0.04772453897630575, 5.599549807343923, 2.3487211650722846, -7.9160978906028285, -3.3684532695932408, 1.6845927951223898, 0.11573199859981857, 5.210150331768053, -6.041480249065964, 3.2776353221601884, -5.598277643223762, -1.7211845924678282, -0.1806299304577469, 6.528165176342049, -4.4890293001513495]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pineapple/193_100.jpg,Pineapple,"[-6.1915798577919405, 5.4987280682305455, -0.011867692543329303, -4.51496210025523, -3.2369603780082756, 2.400221301872124, 0.10054383065126637, -0.13403281818142054, -6.83589642187174, 4.895108114293375, -6.951412479888466, 0.21138856609901935, 1.088542772100217, -3.1996450422582225, -6.44528485523253]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pineapple Mini/r_17_100.jpg,Pineapple Mini,"[-6.311538005194658, 6.775812285689277, 0.16235825348515354, -3.7785663279248403, -2.0637666145785856, 4.359380284639007, 1.8114593124084242, 1.4375642361216645, -11.50987614021124, 5.537505356299876, -2.3871051346199734, 1.1294399969657096, 2.214727922028157, -3.3870986340396145, -3.264912766744079]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pineapple Mini/r_164_100.jpg,Pineapple Mini,"[-4.219393062930552, 2.713759003157621, 0.3718717640774511, -2.54803578738543, -1.6560096998659164, 1.952269027313379, 0.6985846152124727, -0.5288626763676387, -10.030161886240892, 4.521561869996258, -2.591375422534612, 1.1944451263637004, 1.2237112271024544, -2.3672327313834605, -3.71567473709485]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cucumber Ripe/r_204_100.jpg,Cucumber Ripe,"[-0.9958924049487277, 6.93779585152625, -2.764951758913287, -6.148718850701011, 7.418536388836636, 9.20447503183542, -3.908046235442839, 3.13035582115658, -5.365575301675821, -0.33066486552987645, -5.032497690256852, 0.2592287868405626, -0.6424943882144336, 3.669257313864139, -4.206609496907165]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pear 2/r_255_100.jpg,Pear 2,"[3.890981708941182, -4.447643442214211, -8.482720838698755, -6.784440585357592, 7.435206800596183, 4.446224981325607, -3.335444705628894, -0.1462420008694387, -4.764897026298955, 1.4633303068961472, -4.713665284703414, 1.9858969315636674, 2.456279343751824, 1.3512709104763172, -3.9892420984077765]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Raspberry/r_34_100.jpg,Raspberry,"[1.8698485874136646, 5.1867968986206625, -2.6117086955278936, -11.024612195873067, -2.146020917431521, 3.34354425068672, -1.064521142662193, 3.222387331582953, -9.884238346734517, 5.954259529010649, -2.7309467930277274, -1.1223993664431755, 1.4037656651961337, 8.642367893351853, -2.9029133723566587]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Raspberry/r_248_100.jpg,Raspberry,"[-0.2931387895900808, 6.334472993301119, 0.5844081810905669, -7.641914366367644, -0.6619716273448352, 1.6804770761133903, 1.816425065181271, 3.7734744466194003, -13.901712855154562, 3.8886009830390322, -2.5518959474505594, 0.06884662359283669, 1.4620289653117802, 6.0455663205794545, -1.4196985160523725]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Lychee/9_100.jpg,Lychee,"[-3.752890702069894, 5.0019245431141774, -0.07929787054479934, -7.036574968175159, -6.551352751103373, 5.735046196999541, -3.461452485822634, 2.908355696172859, -5.91752618643881, 5.396924905275146, -4.851380137823585, 3.1585132534958382, 0.2927893495183398, 0.6627697650519869, -2.757531430875849]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pear Red/r2_260_100.jpg,Pear Red,"[3.9384109128252676, -1.967865266952883, -3.0144947949647922, -12.854928033124583, 4.494028087181177, 2.873141579666936, -3.2170407978321145, 1.504292675098596, -1.0661844524621515, -0.5446776879920386, -2.565536109941563, 3.071672640704087, 0.2825136390857871, 0.7121384519129935, -2.139575221728337]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pear Red/r2_120_100.jpg,Pear Red,"[3.648997069198268, -2.1846452647495993, -4.231570482827221, -13.895819451956704, 5.197781759253593, 3.134530323056697, 1.4213015402168387, -0.5632372287245515, -4.90176519320097, -2.120804420093098, -0.7747391882346517, 4.842308363944771, 1.1618351794768405, 4.445733427565946, -2.494236705421966]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pear Red/r2_126_100.jpg,Pear Red,"[4.205353328478341, -2.0469854458786605, -3.4883179399406874, -13.850348493297652, 4.551181735258396, 3.0516268672677223, 0.9442442304953064, -0.5369625416659016, -4.688158831765588, -2.446403993955599, -0.6126429797338897, 4.81813819421285, 1.120236616640874, 4.197246211130342, -1.7020322357291644]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Nectarine/r_34_100.jpg,Nectarine,"[8.371565327913837, 1.7172538663660981, -7.479477859304162, -14.86118043716145, 0.15518062782527464, 3.0059740281110408, -2.6290240289711675, 1.956827649501466, -4.5520565429344755, 2.6783558550009268, -2.1160028249144687, -3.355233063212568, 1.7160541211882365, 4.193571821309818, -1.976155464642755]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pear Red/r_108_100.jpg,Pear Red,"[1.1549795903346214, -2.100156559670218, -5.331700876120185, -10.686133366246624, 4.7788194730225175, 1.9923426363146364, 1.7260819778923897, 0.6093906617752112, -3.3090144356476667, -3.078669668990063, 0.46803536485447594, 3.8634589082445614, 0.28050043225560994, 4.005754385277949, -0.6142853393281925]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Beetroot/r_168_100.jpg,Beetroot,"[-0.45470778954754615, 3.445011144402336, -9.509522513581832, -5.41015791556902, 5.729652467734922, 3.7359250937330755, -0.1738014009629101, 3.319416387943901, -5.117658529294484, -1.5872890974549723, -3.9566482140147134, -0.17530425086887888, 4.552005745803071, 1.7548630475155869, 1.4807740266261402]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Nectarine/r_41_100.jpg,Nectarine,"[9.938499131113828, 2.552107702588153, -7.669504598914238, -15.312914470812487, 1.3378440203103834, 2.922260513661683, -2.326537221643209, 1.83804519211745, -5.5189452145285305, 3.1275545847493804, -2.1727649527860096, -4.39084342597395, 2.0226033833262496, 4.070129226148227, -1.8286695163917315]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pear Forelle/218_100.jpg,Pear Forelle,"[1.093939476425339, 1.8049598073495092, -7.918218449931857, -12.063216584097992, 4.291259939803442, 7.167199230225542, -11.193428540139006, 5.12359648356253, -3.9220160472201546, 0.536903145211903, -7.398648427415422, 3.445036716079271, 2.066559321721975, 0.5185812843016625, 1.036988657296939]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Mandarine/r_110_100.jpg,Mandarine,"[2.052475579714565, -4.31369786005203, -5.528189616971854, -7.73441611664275, -0.30324334025263217, 4.009803961647939, -1.6201220841502837, 7.574949632518105, -6.94891094500043, -2.042964191245733, -1.2682098105546928, -2.7954203755750693, 3.434748325966805, 0.936668065092445, -1.4744053980583474]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Lychee/r_8_100.jpg,Lychee,"[-2.62774652386889, 4.669440555663047, -4.220161897269563, -9.027223292469582, -5.235539409507766, 7.536810466678211, -3.2685829288262576, 2.241549787687295, -7.271244296563938, 5.594409908414502, -3.005427460632645, 3.4204994683373773, 1.323242319541762, 0.6487905356202031, -3.0629328137229335]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pineapple/r_191_100.jpg,Pineapple,"[-4.879996710781554, 5.641260144329271, -3.787679442166071, -4.530848742514296, -1.6731886688543698, 4.220053027336114, -0.35324885246069204, 2.113528369686291, -9.316582464879572, 6.534707432938231, -3.960488263208897, 1.3333458982505526, 0.5709508467183102, -1.3123272648843276, -5.935018864887893]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Nectarine/63_100.jpg,Nectarine,"[5.320734629764041, 0.4070638425638836, -5.792174330372804, -13.461446541172364, 0.03219166291129639, 2.33002457801093, -4.764833951696174, 4.3824176729702105, -4.792503984467685, 0.7254382642545991, 0.17180427639613613, -1.1862879146890632, 3.8238620512367825, 2.3094703826500584, -0.43759511630885556]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Mandarine/r_109_100.jpg,Mandarine,"[2.0740185517497944, -4.106976064960346, -5.239539036055341, -7.932886964510897, -0.07217130599392643, 3.8692026084481173, -1.8586979754400121, 8.08354610036407, -7.129231403573384, -2.6192189520388958, -1.4346241274370517, -2.276357568918449, 3.52963659226248, 0.1641949278902336, -1.1051283825536178]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cantaloupe 2/r_238_100.jpg,Cantaloupe 2,"[-3.5098910199738604, 1.588272248130237, -10.627491759694998, -5.173500700648502, 4.014624168886968, 11.344987198535053, -0.16948101232263407, 3.84227658478298, -5.033487429438617, 3.3507021314825254, -3.060096937452078, 2.2132464538060788, 5.014897155606164, 2.952111968478317, 1.0011176283775474]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pineapple/r_199_100.jpg,Pineapple,"[-4.476614864279082, 6.7180010648584725, -4.126674033058879, -4.177399052071605, -1.395101734504544, 4.561820583610187, -0.9118910147751168, 1.7983644323337715, -10.981209665024771, 6.57371852926004, -3.640168129975701, 0.6918612824580942, -0.6300721582376918, -1.9594386016753358, -5.2542326810083235]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cantaloupe 2/r_229_100.jpg,Cantaloupe 2,"[-4.73567030700222, 1.8696260484656517, -9.411171289826374, -5.767285504699306, 4.455845941716784, 10.492005347439965, 0.8215328821919543, 3.5387703226013203, -6.206356278205482, 3.119300769091746, -4.6352603023474686, 2.225618012336147, 5.64546486591491, 2.803442839466929, 0.0028304454454921653]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Orange/r_46_100.jpg,Orange,"[2.809355872966865, -5.4194234043523215, -6.1866042817208395, -8.514436114494075, -0.5851003881517801, 3.808258743878158, -6.046212470167239, 4.44980164880043, -6.476519229908841, -3.654840256392444, -2.203669904110277, 1.1333404781050163, 3.5059732666193333, 1.1825607242084972, -3.3397186207498195]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pepper Yellow/r_173_100.jpg,Pepper Yellow,"[3.557126909769599, 1.2444547953939398, 2.5111073869539955, -0.9224709118609343, 7.823152813849457, 2.8356433390611278, -3.8135804596661593, 7.140038778426113, -5.616343953455283, -0.06305643065618476, -1.6389774665056782, 3.8194006540902348, 2.6921881138198445, 2.939131589939685, -3.2809392247680425]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Apple Red Yellow 1/47_100.jpg,Apple Red Yellow 1,"[3.155047309215875, -0.9726066997652554, -6.8125025608867285, -9.477087802400094, 4.016645649302965, 3.928882405618673, 1.7687719280473622, 7.288721384205937, -4.80873012162319, 0.506182952966515, 0.3378823540778643, -1.8845515240947166, 1.5685190947115604, 0.5493810977907655, -0.1899602314045398]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cocos/29_100.jpg,Cocos,"[-2.7776421615289264, 5.438801781282432, -9.707133969335514, -6.484506263007583, 0.35878311289708903, 9.169512592503532, -4.205560240834588, 6.03032946840612, -4.25827795240865, 2.717903753121024, -3.70970263382763, 5.0467887611645335, 2.074343040023624, 2.113424263127646, -2.142540050775974]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cocos/233_100.jpg,Cocos,"[-4.587586153220575, 9.133984101751878, -9.381601204454983, -7.554911119763818, 3.466539494710083, 9.183573639422505, -5.47241567197938, 9.053172387604596, -8.210448616623248, 4.426173847644036, -3.506475286295544, 1.7257473222922746, 1.8165184298916823, 2.5783013829932155, -2.985458752015072]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Apple Golden 1/r_84_100.jpg,Apple Golden 1,"[-4.557470880316787, -0.44999306219943774, -7.039698341681131, -3.6783998729343987, 4.292885617105095, 2.815262027944576, -1.1757923852188508, 4.163283876040499, -3.686571196796428, 4.431625147970985, -2.0270271030377867, 1.1307493446480728, 3.270377804592972, -0.8876287471803692, 0.20608576425972275]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Orange/r_326_100.jpg,Orange,"[1.8382729202044794, -3.3725648247526068, -6.580298219538721, -8.014777133174526, 3.2081224897754037, 4.750300972061655, -4.272093386719591, 2.3264930305815326, -6.173082935449222, -2.524780670459652, -1.9731443717139772, 1.5156794536819114, 4.087577464461959, 1.3084211551663443, -5.3048985969089415]"
