path,label,features_json
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pineapple Mini/21_100.jpg,Pineapple Mini,"[-4.998110324185015, 2.170559056049009, 1.896048613075896, -3.567351562907194, -2.3702028729363556, 2.7472816785208027, 2.475768103488969, -0.5801003098772995, -6.457299519399051, 3.790763518966998, -3.1705761088527193, 1.9654317104823684, 1.0544908774617565, -4.3395387406020545, -3.0407463076166334]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Watermelon/265_100.jpg,Watermelon,"[-2.8897548813248237, 2.981560277418473, -6.084238910204393, -4.125542086079338, 3.4270672699095286, 5.727710154687081, -1.8032352516066459, 4.431719788484336, -8.596084799085801, 3.160883957551878, -3.7308831630161055, -0.5774840854548571, -1.208381885039783, 4.918110614678046, 2.778649144364014]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Raspberry/110_100.jpg,Raspberry,"[0.1335008007861278, 5.283799428816524, 2.07212519040563, -7.971882940847948, -3.3815374763993367, 2.0283337529151235, -0.05571627643456526, 4.790389102702884, -5.566817665203217, 3.0303431107188237, -6.015258389454569, -1.3406325163647748, 0.09761745879546543, 6.856387867865868, -4.057918175125959]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cauliflower/r_234_100.jpg,Cauliflower,"[-5.694948919754232, 4.267446694333478, 1.8936539591876744, -1.8972369745567077, -0.10841203402609857, 4.0627060576964045, -0.8208999064495767, 1.720765384809196, -3.7257933950928686, 2.8275329652442616, -3.6182495858145285, 3.07966212187778, 2.89296235875259, -3.444283846771098, 0.23599670493614872]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cauliflower/r_177_100.jpg,Cauliflower,"[-4.5555611545975605, 2.075696051352725, 1.2593815744911947, -3.397978282732176, -3.7507818775725577, 3.08397623885799, -0.6413522650935064, 1.4297989100601687, -2.2457128124552885, 3.251552092310023, -5.865520729542854, 1.6474606856187177, 1.5251737695566292, -3.121447445199218, 0.4475425934806529]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cauliflower/r2_202_100.jpg,Cauliflower,"[-3.6103809394540685, 2.191964231289471, -0.1222725401294606, -2.609780379579082, -4.018834531724485, 3.5949276629702394, -0.8413373304359936, 2.256903854998121, -1.6115744477040128, 2.627365521203491, -4.404793306197354, 2.0385542351708303, 2.156729860422513, -2.874830212439337, -0.03080193160370042]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pineapple/220_100.jpg,Pineapple,"[-6.035003023052374, 6.21312481350066, -0.643336451659092, -3.939948661003107, -3.774061465454835, 2.8997398486643133, -0.34453179838244397, 2.1012742232473705, -7.304522933189344, 4.956042201819855, -7.839193666038062, 0.20076461352303568, 2.039718343315596, -2.898506853802342, -5.996273062483891]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cauliflower/38_100.jpg,Cauliflower,"[-4.856861538645958, 3.26438098376841, 0.7584909749170389, -1.7283961563023207, -1.620364302901993, 2.4781418082061126, -1.1945412727603129, 0.7850192453178316, -3.6526174443650388, 2.0687329200709774, -3.3745119387053633, 2.106487687598852, 2.9390257057204354, -3.917961868503834, 0.931879738587956]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cauliflower/9_100.jpg,Cauliflower,"[-4.324383219117115, 2.726150794793046, 0.2285343762921534, -2.412165391329033, -1.2036422346234523, 2.96724107838676, -1.7227792439723233, 1.2134799784290853, -2.1441256826298702, 1.9149891003104147, -4.21692124268588, 2.3655679933958647, 2.6980236744121764, -3.061213328147476, 0.7001492310779286]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cauliflower/43_100.jpg,Cauliflower,"[-4.589047687450109, 3.106010640389901, 0.5117954571966229, -1.2458426737936636, -1.4256709995118007, 2.866619437763183, -1.593431338282584, 0.7677361155306387, -4.138363156613773, 2.6973692744245557, -3.4796261434674793, 1.7184960559400602, 2.8561981585998457, -3.783684226894548, 1.1820129427314336]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pineapple Mini/r_43_100.jpg,Pineapple Mini,"[-6.594989099739217, 5.74647174559474, -0.01119322126280557, -3.8678945117733687, -2.751782624180957, 3.944076441427631, 1.4481677075325874, -0.2829538506225687, -11.006065132874813, 5.620684336548244, -3.913555223983293, 1.2734024665958386, 3.1410022393720793, -4.021637932889914, -3.224515319606397]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Onion White/r2_16_100.jpg,Onion White,"[0.6206027986137639, 2.0144772295389224, -4.127314850808304, -6.731013789099417, 12.150990945644331, 5.204874288813903, 2.7009369725104655, 1.595935450881785, -12.765950270178916, -0.9470577520392278, -3.4704587274173, 3.1221321015462697, -2.587068933434319, 3.81171096683692, -2.698700922161431]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Lychee/57_100.jpg,Lychee,"[-3.9347740209435713, 2.9516983013377165, -0.2723501523757477, -8.827723869814891, -7.091277684168793, 4.350237965093643, -4.194398326639426, 2.29021256840316, -5.867972345998344, 4.329764712998053, -6.344192570783769, 2.3292684971984463, -0.46005710156057306, 0.7432766146272451, -3.5768434867726704]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pear Forelle/r_7_100.jpg,Pear Forelle,"[0.9174153182866119, -0.9995086968121764, -10.251097365395408, -9.566813988761101, 4.5365044264877445, 6.174413091925444, -6.321181502126959, 2.4999970406605403, -3.8952027792670494, 2.1542137834802637, -6.790425227230728, 1.1412238639399914, 4.0444810239194995, 0.807730849333859, -2.290653722028929]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Lychee/6_100.jpg,Lychee,"[-3.74225470308905, 3.7609902176039354, -0.5930754609988372, -8.245403699493009, -7.197973283923722, 4.958693346355127, -3.820624819160424, 2.367434402463558, -5.965350840508472, 5.041483924470104, -5.081164651075301, 2.189694183621499, 0.06717111983274546, 1.5354971500409724, -3.2148329238779803]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Onion White/r_6_100.jpg,Onion White,"[-0.4525823792848111, 3.409036225352667, -2.087384784690555, -6.226221253061717, 11.79119189212813, 4.603916072541339, 1.357864076093254, 1.3730330891606395, -11.666546002224093, -0.9243675990296744, -4.48553965338201, 3.8944859719040417, -2.878334214861462, 3.7266316639256902, -2.362279942914586]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pear Red/r2_122_100.jpg,Pear Red,"[3.1907234634392085, -2.5932170673869774, -3.7117820417332523, -13.264353625449738, 4.6840341221792645, 2.8938133788199494, 0.8981421784949604, -0.9955205704731751, -5.021935746947191, -2.134428771778374, -0.9188609214610391, 5.1975982025484875, 1.2169428580241224, 4.635267074654195, -1.843565005141477]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Rambutan/133_100.jpg,Rambutan,"[-4.257043022524418, 7.529848040361718, -1.7936154081556968, -3.4003358990124974, -3.812216685599733, 3.525140175709115, -2.761935421128007, 0.43195858641046003, -12.411608821088658, 1.7868138048046447, -3.604082750879543, 5.285826386788562, 1.7869749827629233, -0.4162346013510659, -3.511569202354508]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Mandarine/r_250_100.jpg,Mandarine,"[0.6678400264717581, -3.243206459963121, -5.142620793970807, -11.958622385701059, -1.715842504021163, 6.105138218034468, -4.0320647000793475, 7.900332621983766, -8.644602596618443, -4.5001919002844994, -4.899535150574265, -2.0427851825588634, 3.3398792908283745, 1.525380716391, -2.7223193508523345]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pear 2/r_234_100.jpg,Pear 2,"[-0.9546804498934318, -4.824781815624338, -11.403238210673159, -7.171624977170386, 8.14653714427873, 4.369686398983931, -2.8755676811400757, -1.5580669652164472, -5.138549598061507, 2.0822116904909915, -3.2134173609403067, 4.377156280004388, 3.3126421982964884, 2.1201225987285475, -4.436064097578906]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pear Forelle/r_173_100.jpg,Pear Forelle,"[-1.5101767018463175, -1.136493192836898, -5.280721958229089, -6.674097164541342, 5.187615056913529, 4.922355359428723, -2.357178398213242, 0.4572484646345646, -3.9822962898926932, -0.6260880033776868, -3.5116458287584167, 8.093926507830583, 3.8118401778243145, 2.4008635151457134, -5.662681494706055]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cantaloupe 1/r_101_100.jpg,Cantaloupe 1,"[0.5833972856887243, -3.7962914441397695, -5.844168026105125, -2.1777769741446638, 2.6734053931741832, 7.112077656975437, 0.8426835109043148, 1.1213573640012264, -5.675232625851226, -3.0810395894521023, -3.6271200037409868, -0.97968204472088, 4.554698025969548, 3.5503571349953233, -1.2208938649045658]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pepper Orange/r_87_100.jpg,Pepper Orange,"[2.6247542920906546, 2.224836891425499, 5.627925963135096, -2.8772077584637845, 6.42629491674855, 2.227907590363374, -0.26929977188495524, 6.81074708070607, -6.54481235565091, -2.269799300045767, -2.2968286478704187, 7.462636751242991, 5.434934058604358, 3.7675285199097486, -5.161268649268914]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pear Forelle/r_149_100.jpg,Pear Forelle,"[-2.6055934667066807, -2.061785412255881, -7.449773925047692, -6.743189362664872, 6.016739907155427, 3.8769864934353016, -2.6666918198821983, -1.8170317065706842, -3.198266625245048, 0.38029437058123033, -3.911993423006632, 9.043933841805408, 5.541136720783081, 2.553512959734136, -6.325017669519839]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pear Forelle/r_158_100.jpg,Pear Forelle,"[-1.4800266158148325, -1.2780460629278607, -6.889612762734032, -6.709866084914283, 5.75060470713697, 4.484348978995626, -2.69501511538941, -1.413850072475849, -3.494702115039224, 0.0643581114850594, -3.8394735573011083, 8.831537548824931, 4.995565327989883, 2.318269507049429, -6.684079541689044]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Lychee/r_185_100.jpg,Lychee,"[-4.102845351285968, 1.5299462093839011, -1.9191623364475134, -6.657762503338179, -6.969248007705216, 5.559437870802557, -4.1598634514252915, 1.6880886353112163, -5.824065345040207, 4.447180123666021, -5.172928036004468, 1.225135509133383, -0.34980919367353347, 2.0068228871264373, -3.546057070721607]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cantaloupe 2/207_100.jpg,Cantaloupe 2,"[-2.6986433972092443, -1.4274414994892066, -10.101947992607412, -4.094837974181617, 0.7496427610598934, 10.662248657902657, 0.05233299632656434, 3.7810560245103746, -3.792016244512867, 3.2689150101088362, -4.898482982684536, 0.1937152729029787, 4.295986238395277, 5.114662674667949, 0.8957388952652254]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pepper Orange/r_76_100.jpg,Pepper Orange,"[1.674532756933288, 1.3704987014856798, 4.831953727200275, -3.351752472274553, 5.490330970041927, 2.6336585856612547, -0.1598852012854261, 5.2978777306071585, -5.485011699560235, -2.035240776050917, -2.0066426262524684, 7.3850660447166145, 5.4554501463200475, 4.070671947678245, -4.805787429618093]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pear Forelle/58_100.jpg,Pear Forelle,"[0.20715183025875392, 1.5942614236466133, -7.110782727624377, -7.898382555371205, 2.4588008676470543, 8.656820244599329, -10.86076104564411, 8.388634039935534, -4.848408274039445, 0.33753586404080954, -8.215312116293205, 4.419971595072326, 1.0419915780150362, -0.035583019304429385, -2.304846822741164]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cantaloupe 2/r_232_100.jpg,Cantaloupe 2,"[-4.790143664798581, 1.5524348193936566, -8.722455137139923, -4.9583693186382325, 2.0267006747134717, 10.712406234385755, 1.2083747956299367, 4.725114386102465, -4.54203828453748, 3.874707726077008, -3.1629955058437385, 1.7811543103425427, 4.480196212857373, 2.37031239429065, 0.6238768627561119]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Apple Red Yellow 1/42_100.jpg,Apple Red Yellow 1,"[4.244086042219719, 1.1778353984083327, -7.005241881748161, -9.626032773347445, 5.88827334840701, 4.028963856099801, 1.0763804706081517, 6.9356198921225785, -6.031093986987637, -0.01987269841752792, 0.21777822544241482, -0.9339901370970796, 1.3198393967457585, 0.8698661413207075, 0.8130992964735075]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pear Forelle/56_100.jpg,Pear Forelle,"[1.523341826755465, 1.02916720993524, -6.536498297954115, -8.090406244288342, 3.0153019506857093, 7.946218670070143, -10.19047726554783, 7.788147637898127, -4.400189547073099, -0.8152068275903128, -8.690903319239405, 3.473902637626729, 0.4594357074862923, 0.6053633809473243, -1.5325973450827592]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Apple Red Yellow 1/44_100.jpg,Apple Red Yellow 1,"[4.2486241188712786, 1.0306295276390092, -7.687153019446967, -10.283036124991602, 5.233139227094974, 3.9157415675266662, 1.5858333316743787, 7.339196853482499, -5.571501320976801, 0.11116679201349938, 0.06257770036608892, -1.2655068442383743, 2.0105068278193046, 0.7053511877140053, 0.3046407635844998]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pear Forelle/179_100.jpg,Pear Forelle,"[-2.586358064319238, 0.27843212111593174, -8.239659251146337, -7.82601981952741, 1.7412774939851225, 9.17292166163999, -10.941844635974054, 7.437071148948716, -7.874762405468224, -1.1093022234283816, -8.403579785648068, 3.8504624305287813, 2.3872164607096575, 0.05877263422412665, -2.5588907938377363]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Apple Red Yellow 1/49_100.jpg,Apple Red Yellow 1,"[3.8069072205664427, -2.3414482973531503, -6.442081765352231, -10.546658773695617, 3.426196177559856, 3.1752630654047014, 0.5458491655323898, 6.335380979604463, -3.8382359556682357, 0.2811763437475603, 0.5462474792076067, -1.5869059241163712, 1.654322927441659, 0.23919410049660828, -0.3387453730678765]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Ginger Root/134_100.jpg,Ginger Root,"[-5.757213712901403, 7.664775999524582, 0.7946496011683791, -2.959378966874985, 4.727776374618161, 6.373344685367241, -0.07891900044287654, 2.4141332819850825, -7.689418343751526, 0.25407524397139325, -5.361036325754739, 3.7879233205885807, 6.036817069753182, -5.711362702847417, -0.1704286444397003]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Lychee/r_26_100.jpg,Lychee,"[-2.505263824916398, 3.287701459330351, -1.7330748439470935, -7.0772402118284585, -6.806540398025486, 5.154847223088207, -1.7770174703646737, 1.2886906470428396, -5.921062166430232, 5.150216334663805, -3.2097445273142253, 2.1619636416999684, -0.180327909840157, 0.7022999596059585, -2.3472825826641452]"
